AccelActuPosHSC1,EnSpdHSC1,MSLongAccelGHSC,EnToqActuExtdRngHSC1,VehSpdAvgDrvnHSC1,VehSpdAvgNonDrvnHSC1,AutocTrCmddGear_TCMHSC1,TrEstdGear_TCMHSC1,EnActuStdyStaToq_LSBHSC1,EnActuStdyStaToq_MSBHSC1,kickdown
0,1214,-0.08,-13.5,29.859,29.75,4,4,-845.5,832,0
0,1208,-0.081,-13.5,29.859,29.75,4,4,-845.5,832,0
0,1202,-0.086,-13.5,29.484,29.375,4,4,-845.5,832,0
0,1191,-0.085,-13.5,29.484,29.375,4,4,-845.5,832,0
0,1179,-0.086,-13.5,29.125,29.094,4,4,-845.5,832,0
0,1179.5,-0.091,-13.5,29.125,29.094,4,4,-845.5,832,0
0,1186.5,-0.081,-13.5,28.781,28.859,4,4,-845.5,832,0
0,1169,-0.064,-13.5,28.781,28.859,4,4,-845.5,832,0
0,1150.5,-0.059,-13.5,28.469,28.328,4,4,-845.5,832,0
0,1149.5,-0.054,-13.5,28.469,28.328,4,4,-845,832,0
0,1159,-0.033,-13.5,28.203,28.203,4,4,-845.5,832,0
0,1159.5,-0.011,-13.5,28.203,28.203,4,4,-845.5,832,0
0,1146.5,-0.021,-13.5,28.031,27.953,4,4,-845.5,832,0
0,1143,-0.024,-13,28.031,27.953,4,4,-845,832,0
0,1148,-0.021,-13,27.875,27.859,4,4,-845,832,0
0,1144.5,-0.013,-13,27.875,27.859,4,4,-845,832,0
0,1135,-0.019,-13,27.797,27.75,4,4,-845,832,0
0,1135,-0.026,-13,27.797,27.75,4,4,-845,832,0
9.804,1138,-0.018,-13,27.641,27.484,4,4,-845,832,0
20.784,1135,-0.01,-13,27.641,27.484,4,4,-845,832,0
31.373,1125.5,-0.021,-3.5,27.5,27.422,4,4,-843.5,840,0
40.784,1143,0.003,-4.5,27.5,27.422,4,4,-844.5,840,0
40.784,1144,0.002,0,27.406,27.313,4,4,-848,848,0
40.784,1140.5,0.005,2,27.406,27.313,4,4,-844.5,848,0
40.784,1156.5,0.008,3.5,27.297,27.188,4,4,-846,848,0
40.784,1155.5,0.033,8,27.297,27.188,4,4,-848,856,0
40.784,1118.5,0.038,16.5,27.344,27.188,4,4,-848,864,0
40.784,1122.5,0.024,15,27.344,27.188,4,4,-848,864,0
40.784,1129.5,0.029,17.5,27.344,27.25,3,4,-846.5,872,0
41.176,1129.5,0.032,25.5,27.344,27.25,3,4,-842.5,880,0
41.176,1151,0.029,54,27.359,27.125,3,4,-842,896,0
41.176,1156,0.057,59,27.359,27.125,3,4,-848,912,0
41.176,1140,0.059,73.5,27.406,27.281,3,4,-846.5,920,0
41.176,1132,0.046,75.5,27.406,27.281,3,4,-848,928,0
41.176,1169,0.061,84.5,27.516,27.469,3,4,-843.5,928,0
41.176,1208,0.048,86.5,27.516,27.469,3,4,-841,928,0
41.176,1268,0.049,85.5,27.734,27.359,3,4,-842.5,928,0
41.176,1325.5,0.045,81.5,27.734,27.359,3,4,-846.5,928,0
41.176,1412,0.033,82,27.75,27.609,3,4,-846.5,928,0
38.824,1470,0.037,82,27.75,27.609,3,4,-845,928,0
30.98,1560.5,0.041,85,27.828,27.719,3,4,-843.5,928,0
16.471,1613.5,0.043,84.5,27.828,27.719,3,4,-843.5,928,0
